#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
3,168;0,587;2,022;0,632;1,266;0,610;0,649;0,506;0,125;0,443;7,654E-2;0,655;6,151E-2
3,185;0,587;2,021;0,623;1,261;0,585;0,647;0,470;0,127;0,409;9,093E-2;0,617;6,150E-2
3,201;0,588;2,018;0,614;1,257;0,559;0,646;0,434;0,130;0,369;9,736E-2;0,572;5,604E-2
3,218;0,589;2,015;0,604;1,252;0,536;0,644;0,400;0,133;0,330;8,944E-2;0,544;6,140E-2
3,235;0,591;2,010;0,595;1,248;0,514;0,643;0,366;0,137;0,302;0,105;0,507;6,228E-2
3,251;0,592;2,004;0,586;1,243;0,490;0,644;0,329;0,141;0,259;0,103;0,469;6,192E-2
3,268;0,593;1,998;0,577;1,239;0,465;0,646;0,295;0,148;0,229;0,115;0,432;6,363E-2
3,285;0,594;1,992;0,571;1,236;0,443;0,648;0,262;0,155;0,221;0,117;0,394;6,376E-2
3,301;0,595;1,986;0,567;1,232;0,423;0,650;0,227;0,162;0,183;0,131;0,359;6,474E-2
3,318;0,598;1,979;0,563;1,229;0,409;0,651;0,197;0,170;0,149;0,149;0,323;6,530E-2
3,335;0,599;1,973;0,560;1,225;0,397;0,651;0,167;0,179;9,697E-2;0,158;0,286;6,666E-2
3,351;0,599;1,968;0,560;1,222;0,390;0,651;0,138;0,190;7,122E-2;0,175;0,249;6,673E-2
3,368;0,600;1,965;0,563;1,219;0,388;0,649;0,111;0,202;4,512E-2;0,193;0,214;6,980E-2
3,385;0,601;1,963;0,569;1,216;0,390;0,648;8,778E-2;0,216;2,214E-2;0,212;0,180;7,336E-2
3,401;0,604;1,960;0,576;1,212;0,397;0,646;6,951E-2;0,231;1,182E-2;0,240;0,147;7,766E-2
3,418;0,605;1,960;0,585;1,210;0,410;0,642;5,784E-2;0,245;3,204E-4;0,278;0,117;7,984E-2
3,435;0,606;1,961;0,594;1,208;0,428;0,636;5,158E-2;0,261;-4,667E-4;0,285;8,736E-2;8,741E-2
3,451;0,607;1,966;0,602;1,206;0,453;0,627;5,444E-2;0,278;7,143E-3;0,315;6,439E-2;9,771E-2
3,468;0,610;1,971;0,611;1,206;0,483;0,619;6,139E-2;0,297;1,633E-2;0,331;5,487E-2;0,117
3,485;0,612;1,975;0,615;1,206;0,514;0,610;7,656E-2;0,322;4,108E-2;0,370;5,577E-2;0,144
3,501;0,611;1,981;0,617;1,207;0,549;0,606;9,934E-2;0,346;6,102E-2;0,387;7,395E-2;0,165
